Subzone,Planning Area,Population
Admiralty,Sembawang,13480
Airport Road,Paya Lebar,-
Alexandra Hill,Bukit Merah,13150
Alexandra North,Bukit Merah,2780
Aljunied,Geylang,39620
Anak Bukit,Bukit Timah,21220
Anchorvale,Sengkang,50050
Ang Mo Kio Town Centre,Ang Mo Kio,4760
Anson,Downtown Core,80
Bahar,Western Water Catchment,-
Balestier,Novena,32020
Bangkit,Bukit Panjang,21680
Bayfront Subzone,Downtown Core,-
Bayshore,Bedok,7340
Bedok North,Bedok,81010
Bedok Reservoir,Bedok,24940
Bedok South,Bedok,45860
Bencoolen,Rochor,1240
Bendemeer,Kallang,36950
Benoi Sector,Pioneer,-
Bidadari,Toa Payoh,-
Bishan East,Bishan,27300
Boat Quay,Singapore River,130
Boon Keng,Kallang,11310
Boon Lay Place,Jurong West,28350
Boon Teck,Toa Payoh,14890
Boulevard,Orchard,340
Braddell,Toa Payoh,9610
Bras Basah,Museum,10
Brickland,Tengah,-
Brickworks,Bukit Batok,25180
Bugis,Downtown Core,880
Bukit Batok Central,Bukit Batok,26900
Bukit Batok East,Bukit Batok,12300
Bukit Batok South,Bukit Batok,14580
Bukit Batok West,Bukit Batok,14550
Bukit Ho Swee,Bukit Merah,14000
Bukit Merah,Bukit Merah,1060
Cairnhill,Newton,3800
Cecil,Downtown Core,320
Central Subzone,Downtown Core,980
Central Water Catchment,Central Water Catchment,-
Changi Airport,Changi,-
Changi Bay,Changi Bay,-
Changi Point,Changi,560
Changi West,Changi,1330
Chatsworth,Tanglin,6830
Cheng San,Ang Mo Kio,27260
Chin Bee,Jurong West,-
China Square,Outram,1340
Chinatown,Outram,10090
Choa Chu Kang Central,Choa Chu Kang,22200
Choa Chu Kang North,Choa Chu Kang,31260
Chong Boon,Ang Mo Kio,25800
City Hall,Downtown Core,90
City Terminals,Bukit Merah,20
Clarke Quay,Singapore River,100
Cleantech,Western Water Catchment,-
Clementi Central,Clementi,14390
Clementi North,Clementi,27870
Clementi West,Clementi,14770
Clementi Woods,Clementi,15770
Clifford Pier,Downtown Core,-
Commonwealth,Queenstown,6660
Compassvale,Sengkang,20750
Coney Island,Punggol,-
Coronation Road,Bukit Timah,6400
Crawford,Kallang,8050
Dairy Farm,Bukit Panjang,6810
Defu Industrial Park,Hougang,10
Depot Road,Bukit Merah,6400
Dhoby Ghaut,Museum,350
Dover,Queenstown,10690
Dunearn,Novena,3790
East Coast,Marine Parade,-
Everton Park,Bukit Merah,7520
Faber,Clementi,5320
Fajar,Bukit Panjang,27020
Farrer Court,Bukit Timah,6140
Farrer Park,Rochor,2500
Fernvale,Sengkang,58390
Flora Drive,Pasir Ris,14840
Forest Hill,Tengah,10
Fort Canning,Museum,170
Frankel,Bedok,33590
Gali Batu,Sungei Kadut,20
Garden,Tengah,-
Geylang Bahru,Kallang,10750
Geylang East,Geylang,29350
Ghim Moh,Queenstown,13370
Gombak,Bukit Batok,9770
Goodwood Park,Newton,1250
Greenwood Park,Woodlands,80
Guilin,Bukit Batok,12450
Gul Basin,Pioneer,-
Gul Circle,Pioneer,20
Henderson Hill,Bukit Merah,12970
Hillcrest,Bukit Timah,9220
Hillview,Bukit Batok,18870
Holland Drive,Queenstown,12080
Holland Road,Bukit Timah,10750
Hong Kah,Jurong West,52420
Hong Kah North,Bukit Batok,25550
Hougang Central,Hougang,4590
Hougang East,Hougang,24270
Hougang West,Hougang,44900
Institution Hill,River Valley,3130
International Business Park,Jurong East,-
Istana Negara,Newton,50
Jelebu,Bukit Panjang,30480
Joo Koon,Pioneer,20
Joo Seng,Toa Payoh,7990
Jurong Gateway,Jurong East,500
Jurong Island And Bukom,Western Islands,-
Jurong Port,Jurong East,-
Jurong River,Jurong East,-
Jurong West Central,Jurong West,61720
Kaki Bukit,Bedok,36240
Kallang Bahru,Kallang,10
Kallang Way,Geylang,30
Kampong Bugis,Kallang,930
Kampong Glam,Rochor,110
Kampong Java,Kallang,10050
Kampong Tiong Bahru,Bukit Merah,8700
Kampong Ubi,Geylang,11290
Kangkar,Hougang,32260
Katong,Marine Parade,9090
Keat Hong,Choa Chu Kang,38240
Kebun Bahru,Ang Mo Kio,21950
Kembangan,Bedok,36350
Kent Ridge,Queenstown,60
Khatib,Yishun,9950
Kian Teck,Jurong West,30
Kim Keat,Toa Payoh,7610
Kovan,Hougang,24370
Kranji,Sungei Kadut,10
Lakeside (Business),Jurong East,-
Lakeside (Leisure),Jurong East,970
Lavender,Kallang,9460
Leedon Park,Bukit Timah,6270
Leonie Hill,River Valley,3180
Lim Chu Kang,Lim Chu Kang,100
Little India,Rochor,3120
Liu Fang,Boon Lay,-
Lorong 8 Toa Payoh,Toa Payoh,6900
Lorong Ah Soo,Hougang,31720
Lorong Chuan,Serangoon,8410
Lorong Halus,Hougang,-
Lorong Halus North,Sengkang,-
Lower Seletar,Yishun,18900
Loyang East,Pasir Ris,2080
Loyang West,Pasir Ris,220
Mackenzie,Rochor,140
Macpherson,Geylang,27310
