"Subzone","Planning Area","Population"
"Admiralty","Sembawang",13660
"Airport Road","Paya Lebar",0
"Alexandra Hill","Bukit Merah",13350
"Alexandra North","Bukit Merah",2830
"Aljunied","Geylang",41310
"Anak Bukit","Bukit Timah",21820
"Anchorvale","Sengkang",50840
"Ang Mo Kio Town Centre","Ang Mo Kio",4940
"Anson","Downtown Core",90
"Bahar","Western Water Catchment",0
"Balestier","Novena",32750
"Bangkit","Bukit Panjang",21640
"Bayfront Subzone","Downtown Core",0
"Bayshore","Bedok",7730
"Bedok North","Bedok",82430
"Bedok Reservoir","Bedok",25290
"Bedok South","Bedok",48400
"Bencoolen","Rochor",1260
"Bendemeer","Kallang",37450
"Benoi Sector","Pioneer",10
"Bidadari","Toa Payoh",10
"Bishan East","Bishan",27620
"Boat Quay","Singapore River",150
"Boon Keng","Kallang",11260
"Boon Lay Place","Jurong West",28700
"Boon Teck","Toa Payoh",15040
"Boulevard","Orchard",500
"Braddell","Toa Payoh",9670
"Bras Basah","Museum",10
"Brickland","Tengah",0
"Brickworks","Bukit Batok",27790
"Bugis","Downtown Core",940
"Bukit Batok Central","Bukit Batok",27230
"Bukit Batok East","Bukit Batok",12380
"Bukit Batok South","Bukit Batok",14660
"Bukit Batok West","Bukit Batok",14600
"Bukit Ho Swee","Bukit Merah",13820
"Bukit Merah","Bukit Merah",1040
"Cairnhill","Newton",4300
"Cecil","Downtown Core",470
"Central Subzone","Downtown Core",1190
"Central Water Catchment","Central Water Catchment",0
"Changi Airport","Changi",0
"Changi Bay","Changi Bay",0
"Changi Point","Changi",560
"Changi West","Changi",1240
"Chatsworth","Tanglin",7330
"Cheng San","Ang Mo Kio",27350
"Chin Bee","Jurong West",0
"China Square","Outram",1360
"Chinatown","Outram",10170
"Choa Chu Kang Central","Choa Chu Kang",22440
"Choa Chu Kang North","Choa Chu Kang",31290
"Chong Boon","Ang Mo Kio",25770
"City Hall","Downtown Core",110
"City Terminals","Bukit Merah",20
"Clarke Quay","Singapore River",110
"Cleantech","Western Water Catchment",0
"Clementi Central","Clementi",14680
"Clementi North","Clementi",27910
"Clementi West","Clementi",14930
"Clementi Woods","Clementi",15890
"Clifford Pier","Downtown Core",0
"Commonwealth","Queenstown",6680
"Compassvale","Sengkang",20780
"Coney Island","Punggol",0
"Coronation Road","Bukit Timah",6610
"Crawford","Kallang",8130
"Dairy Farm","Bukit Panjang",7060
"Defu Industrial Park","Hougang",10
"Depot Road","Bukit Merah",6450
"Dhoby Ghaut","Museum",430
"Dover","Queenstown",11020
"Dunearn","Novena",3940
"East Coast","Marine Parade",0
"Everton Park","Bukit Merah",7550
"Faber","Clementi",5550
"Fajar","Bukit Panjang",26940
"Farrer Court","Bukit Timah",6370
"Farrer Park","Rochor",2550
"Fernvale","Sengkang",61130
"Flora Drive","Pasir Ris",15230
"Forest Hill","Tengah",10
"Fort Canning","Museum",190
"Frankel","Bedok",34420
"Gali Batu","Sungei Kadut",30
"Garden","Tengah",0
"Geylang Bahru","Kallang",10710
"Geylang East","Geylang",29430
"Ghim Moh","Queenstown",13440
"Gombak","Bukit Batok",9830
"Goodwood Park","Newton",1360
"Greenwood Park","Woodlands",100
"Guilin","Bukit Batok",12790
"Gul Basin","Pioneer",0
"Gul Circle","Pioneer",20
"Henderson Hill","Bukit Merah",13010
"Hillcrest","Bukit Timah",9740
"Hillview","Bukit Batok",19660
"Holland Drive","Queenstown",12130
"Holland Road","Bukit Timah",11360
"Hong Kah","Jurong West",53110
"Hong Kah North","Bukit Batok",25620
"Hougang Central","Hougang",4630
"Hougang East","Hougang",24450
"Hougang West","Hougang",44940
"Institution Hill","River Valley",3580
"International Business Park","Jurong East",0
"Istana Negara","Newton",60
"Jelebu","Bukit Panjang",30540
"Joo Koon","Pioneer",20
"Joo Seng","Toa Payoh",8130
"Jurong Gateway","Jurong East",560
"Jurong Island And Bukom","Western Islands",0
"Jurong Port","Jurong East",0
"Jurong River","Jurong East",10
"Jurong West Central","Jurong West",62410
"Kaki Bukit","Bedok",36170
"Kallang Bahru","Kallang",20
"Kallang Way","Geylang",40
"Kampong Bugis","Kallang",1340
"Kampong Glam","Rochor",110
"Kampong Java","Kallang",10280
"Kampong Tiong Bahru","Bukit Merah",8740
"Kampong Ubi","Geylang",11210
"Kangkar","Hougang",32780
"Katong","Marine Parade",9350
"Keat Hong","Choa Chu Kang",38360
"Kebun Bahru","Ang Mo Kio",22180
"Kembangan","Bedok",36540
"Kent Ridge","Queenstown",80
"Khatib","Yishun",9970
"Kian Teck","Jurong West",40
"Kim Keat","Toa Payoh",7570
"Kovan","Hougang",24860
"Kranji","Sungei Kadut",0
"Lakeside (Business)","Jurong East",0
"Lakeside (Leisure)","Jurong East",1000
"Lavender","Kallang",10040
"Leedon Park","Bukit Timah",6600
"Leonie Hill","River Valley",3540
"Lim Chu Kang","Lim Chu Kang",90
"Little India","Rochor",3140
"Liu Fang","Boon Lay",10
"Lorong 8 Toa Payoh","Toa Payoh",6870
