Subzone,PopMale,PopFemale
Admiralty,6860,7060
Airport Road,-,-
Alexandra Hill,6630,6860
Alexandra North,1230,1400
Aljunied,19740,20250
Anak Bukit,10370,11500
Anchorvale,23700,24420
Ang Mo Kio Town Centre,2260,2550
Anson,-,-
Bahar,-,-
Balestier,15670,16760
Bangkit,11010,11260
Bayfront Subzone,-,-
Bayshore,3580,3870
Bedok North,39700,42140
Bedok Reservoir,12480,12990
Bedok South,22540,24160
Bencoolen,620,690
Bendemeer,18240,19330
Benoi Sector,-,-
Bidadari,-,-
Bishan East,13420,14880
Boat Quay,70,60
Boon Keng,5630,6160
Boon Lay Place,15060,14270
Boon Teck,7210,7450
Boulevard,210,200
Braddell,4590,5210
Bras Basah,-,-
Brickland,-,-
Brickworks,9800,10020
Bugis,440,450
Bukit Batok Central,13290,14000
Bukit Batok East,6290,6410
Bukit Batok South,7360,7570
Bukit Batok West,7300,7700
Bukit Ho Swee,7050,7340
Bukit Merah,550,570
Cairnhill,1830,2060
Cecil,130,130
Central Subzone,410,470
Central Water Catchment,-,-
Changi Airport,-,-
Changi Bay,-,-
Changi Point,300,240
Changi West,660,650
Chatsworth,3190,3690
Cheng San,13480,14600
Chin Bee,-,-
China Square,670,760
Chinatown,5040,5450
Choa Chu Kang Central,11180,11340
Choa Chu Kang North,15860,16070
Chong Boon,12860,13640
City Hall,-,-
City Terminals,-,-
Clarke Quay,70,50
Cleantech,-,-
Clementi Central,6600,7400
Clementi North,13400,15410
Clementi West,7310,7950
Clementi Woods,7660,8340
Clifford Pier,-,-
Commonwealth,3230,3770
Compassvale,10170,10790
Coney Island,-,-
Coronation Road,3050,3650
Crawford,4630,3750
Dairy Farm,3350,3590
Defu Industrial Park,-,-
Depot Road,3090,3450
Dhoby Ghaut,160,160
Dover,5260,5820
Dunearn,1800,2150
East Coast,-,-
Everton Park,3680,4120
Faber,2620,2740
Fajar,13870,13950
Farrer Court,2900,3280
Farrer Park,1350,1310
Fernvale,28860,29950
Flora Drive,7200,7470
Forest Hill,-,-
Fort Canning,90,90
Frankel,16260,18230
Gali Batu,-,-
Garden,-,-
Geylang Bahru,5620,5660
Geylang East,14540,15380
Ghim Moh,6470,7380
Gombak,4840,5090
Goodwood Park,600,660
Greenwood Park,-,-
Guilin,6290,6650
Gul Basin,-,-
Gul Circle,-,-
Henderson Hill,6490,6830
Hillcrest,4170,5300
Hillview,9290,10000
Holland Drive,5760,6920
Holland Road,4800,6040
Hong Kah,26650,27230
Hong Kah North,13030,13120
Hougang Central,2350,2370
Hougang East,12110,12810
Hougang West,22410,23050
Institution Hill,1500,1650
International Business Park,-,-
Istana Negara,-,-
Jelebu,15370,15940
Joo Koon,-,-
Joo Seng,4030,4120
Jurong Gateway,210,240
Jurong Island And Bukom,-,-
Jurong Port,-,-
Jurong River,-,-
Jurong West Central,31810,31950
Kaki Bukit,18210,18940
Kallang Bahru,-,-
Kallang Way,-,-
Kampong Bugis,460,460
Kampong Glam,80,40
Kampong Java,5140,5390
Kampong Tiong Bahru,4440,4560
Kampong Ubi,5890,5910
Kangkar,15740,16540
Katong,4440,4910
Keat Hong,19010,19170
Kebun Bahru,10660,11970
Kembangan,18460,19010
Kent Ridge,-,-
Khatib,4980,5270
Kian Teck,-,-
Kim Keat,3840,4130
Kovan,11960,12840
Kranji,-,-
Lakeside (Business),-,-
Lakeside (Leisure),570,500
Lavender,5070,4610
Leedon Park,2960,3480
Leonie Hill,1430,1690
Lim Chu Kang,60,50
Little India,1680,1580
Liu Fang,-,-
Lorong 8 Toa Payoh,3420,3730
Lorong Ah Soo,15270,17050
Lorong Chuan,4090,4400
Lorong Halus,-,-
Lorong Halus North,-,-
Lower Seletar,9240,9420
Loyang East,1060,1080
Loyang West,100,120
Mackenzie,60,50
Macpherson,14070,14300
Malcolm,1380,1570
